Sigla;Código;Município;Renda per capita média (Atlas DH - Censo) (2010);Percentual da população de 25 anos ou mais com ensino médio completo (Atlas DH - Censo) (2010);
MG;3101631;Alfredo Vasconcelos;400,14;18,65;
MG;3101706;Almenara;419,98;20,36;
MG;3101805;Alpercata;401,21;16,43;
MG;3101904;Alpinópolis;633,91;22,34;
MG;3102001;Alterosa;475,99;16,98;
MG;3102050;Alto Caparaó;505,1;15,07;
MG;3102100;Alto Rio Doce;323,95;11,93;
MG;3102209;Alvarenga;312,46;10,41;
MG;3102308;Alvinópolis;460,96;21,09;
MG;3102407;Alvorada de Minas;277,99;12,58;
MG;3102506;Amparo do Serra;368,72;16,71;
MG;3102605;Andradas;754,39;25,39;
MG;3102704;Cachoeira de Pajeú;265,27;12,58;
MG;3102803;Andrelândia;534,68;24,04;
MG;3102852;Angelândia;322,8;10,16;
MG;3102902;Antônio Carlos;457,02;22,51;
MG;3103009;Antônio Dias;387,61;14,22;
MG;3103108;Antônio Prado de Minas;529,54;20,21;
MG;3103207;Araçaí;482,4;25,24;
MG;3103306;Aracitaba;351,6;17,55;
MG;3103405;Araçuaí;410,67;20,94;
MG;3103504;Araguari;798,63;35,14;
MG;3103603;Arantina;411,16;20,35;
MG;3103702;Araponga;328,75;6,95;
MG;3103751;Araporã;536,04;29,16;
MG;3103801;Arapuá;696,47;20,01;
MG;3103900;Araújos;599,3;19,35;
MG;3104007;Araxá;883,88;40,77;
MG;3104106;Arceburgo;576,68;24,73;
MG;3104205;Arcos;691,16;32,81;
MG;3104304;Areado;622,83;24,72;
MG;3104403;Argirita;442,45;20,5;
MG;3104452;Aricanduva;249,75;9,76;
MG;3104502;Arinos;349,52;21,92;
MG;3104601;Astolfo Dutra;572,06;21,41;
MG;3104700;Ataléia;317,64;14,48;
MG;3104809;Augusto de Lima;384,1;20,7;
MG;3104908;Baependi;497,21;22,14;
MG;3105004;Baldim;458,08;23,96;
MG;3105103;Bambuí;777,46;27,82;
MG;3105202;Bandeira;302;12,14;
MG;3105301;Bandeira do Sul;554,52;17,15;
MG;3105400;Barão de Cocais;546,85;33,39;
MG;3105509;Barão de Monte Alto;377,1;16,98;
MG;3105608;Barbacena;854,27;38,79;
MG;3105707;Barra Longa;362,62;15,94;
MG;3105905;Barroso;535,1;32,01;
MG;3106002;Bela Vista de Minas;440,23;22,47;
MG;3106101;Belmiro Braga;464,5;20,07;
MG;3106200;Belo Horizonte;1497,29;52,6;
MG;3106309;Belo Oriente;470,05;24,1;
MG;3106408;Belo Vale;524,03;16,9;
MG;3106507;Berilo;295,62;15,84;
MG;3106606;Bertópolis;288,77;10,05;
MG;3106655;Berizal;261,24;16,72;
MG;3106705;Betim;660,56;34,95;
MG;3106804;Bias Fortes;344,35;14,18;
MG;3106903;Bicas;735;32,34;
MG;3107000;Biquinhas;565,37;18,42;
MG;3107109;Boa Esperança;599,17;23,56;
MG;3107208;Bocaina de Minas;501,73;17,98;
MG;3107307;Bocaiúva;451,54;29,6;
MG;3107406;Bom Despacho;809,9;32,74;
MG;3107505;Bom Jardim de Minas;464,99;25,37;
MG;3107604;Bom Jesus da Penha;607,73;21,82;
MG;3107703;Bom Jesus do Amparo;472,21;19,36;
MG;3107802;Bom Jesus do Galho;368;13,29;
MG;3107901;Bom Repouso;447,85;14,52;
MG;3108008;Bom Sucesso;551,39;24,59;
MG;3108107;Bonfim;512,94;12,22;
MG;3108206;Bonfinópolis de Minas;472,15;24,12;
MG;3108255;Bonito de Minas;195,65;10,27;
MG;3108305;Borda da Mata;635,37;24,21;
MG;3108404;Botelhos;630,12;18,47;
MG;3108503;Botumirim;230,25;15,09;
MG;3108552;Brasilândia de Minas;444,35;21,74;
MG;3108602;Brasília de Minas;360,93;21,26;
MG;3108701;Brás Pires;299,02;13,62;
MG;3108800;Braúnas;416,84;11,94;
MG;3108909;Brasópolis;613,88;23,1;
MG;3109006;Brumadinho;910,31;31,98;
MG;3109105;Bueno Brandão;491,08;14,18;
MG;3109204;Buenópolis;456,55;24,76;
MG;3109253;Bugre;338,39;10,06;
MG;3109303;Buritis;505,59;24,14;
MG;3109402;Buritizeiro;340,72;19,42;
MG;3109451;Cabeceira Grande;424,47;15,02;
MG;3109501;Cabo Verde;571,6;16,83;
MG;3109600;Cachoeira da Prata;583,28;34,42;
MG;3109709;Cachoeira de Minas;527,44;25,39;
MG;3109808;Cachoeira Dourada;606,15;28,5;
MG;3109907;Caetanópolis;531,65;22,76;
MG;3110004;Caeté;586,16;35,38;
MG;3110103;Caiana;406,23;14,5;
MG;3110202;Cajuri;333,45;16,3;
MG;3110301;Caldas;627,21;16,66;
MG;3110400;Camacho;425,8;19,33;
MG;3110509;Camanducaia;649,49;17,73;
MG;3110608;Cambuí;712,9;29,01;
MG;3110707;Cambuquira;588,83;27,64;
MG;3110806;Campanário;350,46;20,63;
MG;3110905;Campanha;686,16;27,33;
MG;3111002;Campestre;669,87;17;
MG;3111101;Campina Verde;681,73;20,19;
MG;3111150;Campo Azul;244,97;14,85;
MG;3111200;Campo Belo;646,71;23,67;
MG;3111309;Campo do Meio;472,71;23,05;
MG;3111408;Campo Florido;774,88;21,92;
MG;3111507;Campos Altos;587,21;22,01;
MG;3111606;Campos Gerais;503,91;20,41;
MG;3111705;Canaã;439,71;15,49;
MG;3111804;Canápolis;711,27;21,86;
MG;3111903;Cana Verde;463,1;16,49;
MG;3112000;Candeias;621,22;18,16;
MG;3112059;Cantagalo;329,9;16,53;
MG;3112109;Caparaó;364,52;12,72;
MG;3112208;Capela Nova;338,43;13,99;
MG;3112307;Capelinha;432,55;19,82;
MG;3112406;Capetinga;549,97;16,16;
MG;3112505;Capim Branco;497,48;27,57;
MG;3112604;Capinópolis;834,14;24,12;
MG;3112653;Capitão Andrade;403,35;12,28;
MG;3112703;Capitão Enéas;282,97;22,26;
MG;3112802;Capitólio;658,77;21,18;
MG;3112901;Caputira;353,65;13,15;
MG;3113008;Caraí;244,29;8,83;
MG;3113107;Caranaíba;319,88;15,13;
MG;3113206;Carandaí;495,09;26,85;
MG;3113305;Carangola;618,24;27,37;
MG;3113404;Caratinga;610,29;25,69;
MG;3113503;Carbonita;373,05;15,4;
MG;3113602;Careaçu;504,96;23,85;
MG;3113701;Carlos Chagas;432,37;19,72;
MG;3113800;Carmésia;404,76;20,29;
MG;3113909;Carmo da Cachoeira;525,35;22,15;
MG;3114006;Carmo da Mata;551,21;20,86;
MG;3114105;Carmo de Minas;511,95;22,34;
MG;3114204;Carmo do Cajuru;606,19;23,3;
MG;3114303;Carmo do Paranaíba;678,13;23,24;
MG;3114402;Carmo do Rio Claro;685,17;25,38;
MG;3114501;Carmópolis de Minas;599,63;18,27;
MG;3114550;Carneirinho;847,07;24,39;
MG;3114600;Carrancas;576,62;28,2;
MG;3114709;Carvalhópolis;579,4;23,71;
MG;3114808;Carvalhos;506,24;16,24;
MG;3114907;Casa Grande;351,47;17,41;
MG;3115003;Cascalho Rico;769,71;19,65;
MG;3115102;Cássia;717,84;22,7;
MG;3115201;Conceição da Barra de Minas;511,91;16,34;
MG;3115300;Cataguases;699,57;34,4;
MG;3115359;Catas Altas;502,15;27,91;
MG;3115409;Catas Altas da Noruega;309,82;11,02;
MG;3115458;Catuji;221,41;11,28;
MG;3115474;Catuti;265,76;14,71;
MG;3115508;Caxambu;963,25;35,27;
MG;3115607;Cedro do Abaeté;431,2;17,79;
MG;3115706;Central de Minas;494,1;13,38;
MG;3115805;Centralina;468,15;17,94;
MG;3115904;Chácara;456,42;14,73;
MG;3116001;Chalé;418,8;21,87;
MG;3116100;Chapada do Norte;279,92;10,29;
MG;3116159;Chapada Gaúcha;282,53;18,78;
MG;3116209;Chiador;808,78;22,77;
MG;3116308;Cipotânea;317,62;12,12;
MG;3116407;Claraval;575,11;15,95;
MG;3116506;Claro dos Poções;337,07;21,57;
MG;3116605;Cláudio;625,88;21,75;
MG;3116704;Coimbra;454,81;18,79;
MG;3116803;Coluna;315;13,74;
MG;3116902;Comendador Gomes;635,2;20,32;
MG;3117009;Comercinho;271,4;12,98;
MG;3117108;Conceição da Aparecida;579,34;17,02;
MG;3117207;Conceição das Pedras;434,68;16,96;
MG;3117306;Conceição das Alagoas;770,02;20,39;
MG;3117405;Conceição de Ipanema;497,4;16,59;
MG;3117504;Conceição do Mato Dentro;384,42;16,78;
MG;3117603;Conceição do Pará;576,48;21,91;
MG;3117702;Conceição do Rio Verde;533,38;20,47;
MG;3117801;Conceição dos Ouros;509,52;22,1;
MG;3117836;Cônego Marinho;245,64;14,14;
MG;3117876;Confins;647,2;35,52;
MG;3117900;Congonhal;553,81;23,16;
MG;3118007;Congonhas;760,35;36,96;
MG;3118106;Congonhas do Norte;270,3;15,24;
MG;3118205;Conquista;678,21;26,66;
MG;3118304;Conselheiro Lafaiete;781,59;41,27;
MG;3118403;Conselheiro Pena;445,95;19,02;
MG;3118502;Consolação;395,33;15,4;
MG;3118601;Contagem;824,3;40,5;
MG;3118700;Coqueiral;495,77;21,05;
MG;3118809;Coração de Jesus;287,28;18,98;
MG;3118908;Cordisburgo;440,09;20,25;
MG;3119005;Cordislândia;468,59;18,09;
MG;3119104;Corinto;499,56;24,44;
MG;3119203;Coroaci;362,9;16,89;
MG;3119302;Coromandel;753,35;23,67;
MG;3119401;Coronel Fabriciano;685,48;36,07;
MG;3119500;Coronel Murta;291,66;18,3;
MG;3119609;Coronel Pacheco;525,62;19,93;
MG;3119708;Coronel Xavier Chaves;518,32;21,4;
MG;3119807;Córrego Danta;561,81;22,5;
MG;3119906;Córrego do Bom Jesus;501,15;21,32;
MG;3119955;Córrego Fundo;477,36;17,2;
MG;3120003;Córrego Novo;327,06;11,86;
MG;3120102;Couto de Magalhães de Minas;333,91;23,33;
MG;3120151;Crisólita;294,11;7,82;
MG;3120201;Cristais;780,18;14,81;
MG;3120300;Cristália;200,51;14,61;
MG;3120409;Cristiano Otoni;458,68;22,72;
MG;3120508;Cristina;442,25;17,93;
MG;3120607;Crucilândia;464,17;15,53;
MG;3120706;Cruzeiro da Fortaleza;707,8;20,03;
MG;3120805;Cruzília;520,72;23,21;
MG;3120839;Cuparaque;381,64;14,7;
MG;3120870;Curral de Dentro;279,64;11,47;
MG;3120904;Curvelo;581,65;27,89;
MG;3121001;Datas;313,84;17,14;
MG;3121100;Delfim Moreira;454,36;20,75;
MG;3121209;Delfinópolis;632,28;25,48;
MG;3121258;Delta;523,34;14,32;
MG;3121308;Descoberto;477,97;18,44;
MG;3121407;Desterro de Entre Rios;348,88;14,62;
MG;3121506;Desterro do Melo;373,25;12,84;
MG;3121605;Diamantina;597,41;33,49;
MG;3121704;Diogo de Vasconcelos;291,48;10,45;
MG;3121803;Dionísio;461,02;23,04;
MG;3121902;Divinésia;441,49;17,95;
MG;3122009;Divino;426,94;13,98;
MG;3122108;Divino das Laranjeiras;388,4;14,84;
MG;3122207;Divinolândia de Minas;340,1;17,11;
MG;3122306;Divinópolis;868,57;38,01;
MG;3122355;Divisa Alegre;341,94;18,51;
MG;3122405;Divisa Nova;484,91;17,75;
MG;3122454;Divisópolis;290,45;15,85;
MG;3122470;Dom Bosco;394,72;16,31;
MG;3122504;Dom Cavati;485,9;20,25;
MG;3122603;Dom Joaquim;355,58;17,1;
MG;3122702;Dom Silvério;488,84;24;
MG;3122801;Dom Viçoso;371,63;17,8;
MG;3122900;Dona Eusébia;563,76;21,07;
MG;3123007;Dores de Campos;520,98;22,81;
MG;3123106;Dores de Guanhães;361,09;15,54;
MG;3123205;Dores do Indaiá;663,62;27,89;
MG;3123304;Dores do Turvo;363,3;13,48;
MG;3123403;Doresópolis;461,8;19,46;
MG;3123502;Douradoquara;640,34;16,4;
MG;3123528;Durandé;392,68;13,77;
MG;3123601;Elói Mendes;577,5;21,83;
MG;3123700;Engenheiro Caldas;407,77;17,57;
MG;3123809;Engenheiro Navarro;332,37;17,6;
MG;3123858;Entre Folhas;373,1;15,14;
MG;3123908;Entre Rios de Minas;527,33;20,21;
MG;3124005;Ervália;429,35;15,89;
MG;3124104;Esmeraldas;452,62;18,19;
MG;3124203;Espera Feliz;496,04;17,33;
MG;3124302;Espinosa;299,13;17,35;
MG;3124401;Espírito Santo do Dourado;486,55;13,71;
MG;3124500;Estiva;547,01;16,74;
MG;3124609;Estrela Dalva;701,83;21,7;
MG;3124708;Estrela do Indaiá;547,21;20,03;
MG;3124807;Estrela do Sul;600,41;22,36;
MG;3124906;Eugenópolis;486,46;23;
MG;3125002;Ewbank da Câmara;391,34;20,03;
MG;3125101;Extrema;745,21;29,18;
MG;3125200;Fama;624,24;20,41;
MG;3125309;Faria Lemos;544,77;27,64;
MG;3125408;Felício dos Santos;274,2;14,71;
MG;3125507;São Gonçalo do Rio Preto;321,22;17,27;
MG;3125606;Felisburgo;290,8;14,89;
MG;3125705;Felixlândia;459,52;16,9;
MG;3125804;Fernandes Tourinho;351,58;15,6;
MG;3125903;Ferros;392,08;13,08;
MG;3125952;Fervedouro;301,55;9,58;
MG;3126000;Florestal;741,46;31,03;
MG;3126109;Formiga;746,8;29,26;
MG;3126208;Formoso;370,41;19,49;
MG;3126307;Fortaleza de Minas;562,53;26,15;
MG;3126406;Fortuna de Minas;459,52;23,1;
MG;3126505;Francisco Badaró;286,56;12,32;
MG;3126604;Francisco Dumont;326,7;16,46;
MG;3126703;Francisco Sá;344,32;18,39;
MG;3126752;Franciscópolis;296,76;13,14;
MG;3126802;Frei Gaspar;275,62;12,9;
MG;3126901;Frei Inocêncio;389,61;21,07;
MG;3126950;Frei Lagonegro;201,83;8,54;
MG;3127008;Fronteira;598,68;24,6;
MG;3127057;Fronteira dos Vales;255,11;15,44;
MG;3127073;Fruta de Leite;241,93;7,88;
MG;3127107;Frutal;752,01;26,19;
MG;3127206;Funilândia;360,59;20,45;
MG;3127305;Galiléia;442,14;17,6;
MG;3127339;Gameleiras;258,85;17,36;
MG;3127354;Glaucilândia;293,97;22,03;
MG;3127370;Goiabeira;398,14;17,48;
MG;3127388;Goianá;558,09;29,27;
MG;3127404;Gonçalves;519,03;17,71;
MG;3127503;Gonzaga;258,04;13,4;
MG;3127602;Gouveia;382,78;20,52;
MG;3127701;Governador Valadares;678,74;34,56;
MG;3127800;Grão Mogol;293,87;13,8;
MG;3127909;Grupiara;548,38;30,65;
MG;3128006;Guanhães;560,99;24,53;
MG;3128105;Guapé;487,68;19,39;
MG;3128204;Guaraciaba;373,48;12,92;
MG;3128253;Guaraciama;306,99;25,35;
MG;3128303;Guaranésia;598,17;23,39;
MG;3128402;Guarani;568,73;22,86;
MG;3128501;Guarará;457,9;16,86;
MG;3128600;Guarda-Mor;660,72;19,56;
MG;3128709;Guaxupé;746,7;31,72;
MG;3128808;Guidoval;512,85;17,37;
MG;3128907;Guimarânia;552,31;22,65;
MG;3129004;Guiricema;469,56;16,73;
MG;3129103;Gurinhatã;587,76;17,96;
MG;3129202;Heliodora;474;16,33;
MG;3129301;Iapu;427,85;14,34;
MG;3129400;Ibertioga;347,21;15,32;
MG;3129509;Ibiá;781,68;21,94;
MG;3129608;Ibiaí;269,24;15,29;
MG;3129657;Ibiracatu;225,72;12,89;
MG;3129707;Ibiraci;609,71;22,89;
MG;3129806;Ibirité;525,64;24,31;
MG;3129905;Ibitiúra de Minas;479,81;16,93;
MG;3130002;Ibituruna;426,36;21,91;
MG;3130051;Icaraí de Minas;277,4;18,22;
MG;3130101;Igarapé;570,58;26,3;
MG;3130200;Igaratinga;556,96;13,79;
MG;3130309;Iguatama;604,59;27,2;
MG;3130408;Ijaci;495,95;27,53;
MG;3130507;Ilicínea;500,79;17,42;
MG;3130556;Imbé de Minas;281,68;6,89;
MG;3130606;Inconfidentes;579,13;20,37;
MG;3130655;Indaiabira;286,93;10,53;
MG;3130705;Indianópolis;499,36;18,92;
MG;3130804;Ingaí;602,08;18,21;
MG;3130903;Inhapim;434,81;15,51;
MG;3131000;Inhaúma;477,55;25,16;
MG;3131109;Inimutaba;389,93;18,23;
MG;3131158;Ipaba;403,9;21,83;
MG;3131208;Ipanema;518,1;21,95;
MG;3131307;Ipatinga;862,91;39,71;
MG;3131406;Ipiaçu;550,98;20,67;
MG;3131505;Ipuiúna;719,24;16,47;
MG;3131604;Iraí de Minas;642,98;21,43;
MG;3131703;Itabira;744,61;36,79;
MG;3131802;Itabirinha de Mantena;390,33;16,99;
MG;3131901;Itabirito;784,55;34,77;
MG;3132008;Itacambira;277,92;19,25;
MG;3132107;Itacarambi;321,22;22,89;
MG;3132206;Itaguara;610,65;22,69;
MG;3132305;Itaipé;277,8;12,88;
MG;3132404;Itajubá;948,2;45,14;
MG;3132503;Itamarandiba;374,21;17,56;
MG;3132602;Itamarati de Minas;540,7;20,05;
MG;3132701;Itambacuri;370,48;17,09;
MG;3132800;Itambé do Mato Dentro;345,17;13,76;
MG;3132909;Itamogi;502,2;18,13;
MG;3133006;Itamonte;604,91;27,56;
MG;3133105;Itanhandu;706,47;29,87;
MG;3133204;Itanhomi;474,77;17,06;
MG;3133303;Itaobim;362,88;19,86;
MG;3133402;Itapagipe;741,95;25,86;
MG;3133501;Itapecerica;594,71;27,2;
MG;3133600;Itapeva;620,04;17,4;
MG;3133709;Itatiaiuçu;490,54;19,48;
MG;3133758;Itaú de Minas;913,39;36,38;
MG;3133808;Itaúna;847,74;34,37;
MG;3133907;Itaverava;363,06;10,48;
MG;3134004;Itinga;260;14,29;
MG;3134103;Itueta;429,77;10,93;
MG;3134202;Ituiutaba;824,46;30,04;
MG;3134301;Itumirim;533,39;27,28;
MG;3134400;Iturama;753,23;31,02;
MG;3134509;Itutinga;634,33;25,66;
MG;3134608;Jaboticatubas;602,48;19,88;
MG;3134707;Jacinto;325,42;13,98;
MG;3134806;Jacuí;558,14;18,73;
MG;3134905;Jacutinga;717,25;26,12;
MG;3135001;Jaguaraçu;508,65;21,73;
MG;3135050;Jaíba;376,73;16,96;
MG;3135076;Jampruca;344,6;15,17;
MG;3135100;Janaúba;468,29;28,66;
MG;3135209;Januária;359,19;27,68;
MG;3135308;Japaraíba;541,09;21,41;
MG;3135357;Japonvar;254,77;13,98;
MG;3135407;Jeceaba;401,99;16,76;
MG;3135456;Jenipapo de Minas;309,77;15,85;
MG;3135506;Jequeri;348,73;11,73;
MG;3135605;Jequitaí;345,53;19,49;
MG;3135704;Jequitibá;1007,03;13,67;
MG;3135803;Jequitinhonha;376,03;18,53;
MG;3135902;Jesuânia;533,26;13,34;
MG;3136009;Joaíma;281,18;15,92;
MG;3136108;Joanésia;369,24;10,38;
MG;3136207;João Monlevade;724,4;38,39;
MG;3136306;João Pinheiro;562,24;24,14;
MG;3136405;Joaquim Felício;433,58;17,75;
MG;3136504;Jordânia;362,77;19,15;
MG;3136520;José Gonçalves de Minas;328,27;16,3;
MG;3136553;José Raydan;327,01;13,36;
MG;3136579;Josenópolis;232,47;10,23;
MG;3136603;Nova União;387,68;17,3;
MG;3136652;Juatuba;517,18;29,8;
MG;3136702;Juiz de Fora;1050,88;45,85;
MG;3136801;Juramento;335,93;21,81;
MG;3136900;Juruaia;1122,1;14,78;
MG;3136959;Juvenília;223,32;17,16;
MG;3137007;Ladainha;226,72;11,2;
MG;3137106;Lagamar;592,95;23,36;
MG;3137205;Lagoa da Prata;707,01;26,49;
MG;3137304;Lagoa dos Patos;321,11;21,9;
MG;3137403;Lagoa Dourada;522,62;16,16;
MG;3137502;Lagoa Formosa;693,25;17,16;
MG;3137536;Lagoa Grande;543,58;21,22;
MG;3137601;Lagoa Santa;1089,96;42,52;
MG;3137700;Lajinha;482,87;19,28;
MG;3137809;Lambari;597,16;26,49;
MG;3137908;Lamim;386,1;17,5;
MG;3138005;Laranjal;601,49;27,27;
MG;3138104;Lassance;364,3;14,48;
MG;3138203;Lavras;889,65;43,05;
MG;3138302;Leandro Ferreira;649,92;17,85;
MG;3138351;Leme do Prado;338,71;22,42;
MG;3138401;Leopoldina;609,5;28,53;
MG;3138500;Liberdade;546,79;16,28;
MG;3138609;Lima Duarte;645,22;23,97;
MG;3138625;Limeira do Oeste;595,92;25,69;
MG;3138658;Lontra;312,77;21,41;
MG;3138674;Luisburgo;355,95;11,08;
MG;3138682;Luislândia;273,73;11,35;
MG;3138708;Luminárias;474,29;19,93;
MG;3138807;Luz;720,88;27,33;
MG;3138906;Machacalis;350,63;20,22;
MG;3139003;Machado;701,58;25,19;
MG;3139102;Madre de Deus de Minas;508,21;26,42;
MG;3139201;Malacacheta;353,28;16,45;
MG;3139250;Mamonas;269,87;9,8;
MG;3139300;Manga;387,71;18,07;
MG;3139409;Manhuaçu;592,99;25,15;
MG;3139508;Manhumirim;547,24;24,12;
MG;3139607;Mantena;505,08;21,59;
MG;3139706;Maravilhas;442,51;22,76;
MG;3139805;Mar de Espanha;598,93;22,12;
MG;3139904;Maria da Fé;445,11;20,8;
MG;3140001;Mariana;641,84;38,83;
MG;3140100;Marilac;354,33;14,83;
MG;3140159;Mário Campos;551,93;22,68;
MG;3140209;Maripá de Minas;510,92;16,2;
MG;3140308;Marliéria;401,74;19,27;
MG;3140407;Marmelópolis;367,73;11,74;
MG;3140506;Martinho Campos;579,07;20,58;
MG;3140530;Martins Soares;376,88;14,32;
MG;3140555;Mata Verde;298,19;13,87;
MG;3140605;Materlândia;255,52;15,93;
MG;3140704;Mateus Leme;579,23;27,02;
MG;3140803;Matias Barbosa;633,76;28,14;
MG;3140852;Matias Cardoso;303;14,14;
MG;3140902;Matipó;403,48;14,51;
MG;3141009;Mato Verde;343,76;19,49;
MG;3141108;Matozinhos;584,15;30,75;
MG;3141207;Matutina;820,03;14,07;
MG;3141306;Medeiros;715,52;18,59;
MG;3141405;Medina;388,82;18,63;
MG;3141504;Mendes Pimentel;372,96;14,12;
MG;3141603;Mercês;561,75;17,28;
MG;3141702;Mesquita;424,12;14,26;
MG;3141801;Minas Novas;334,06;15,96;
MG;3141900;Minduri;404,95;21,12;
MG;3142007;Mirabela;326,06;20,48;
MG;3142106;Miradouro;443,39;18,34;
MG;3142205;Miraí;493,91;22,05;
MG;3142254;Miravânia;235,64;15,26;
MG;3142304;Moeda;477,77;16,65;
MG;3142403;Moema;634,04;29,38;
MG;3142502;Monjolos;360,58;23,53;
MG;3142601;Monsenhor Paulo;555,78;25,87;
MG;3142700;Montalvânia;305,88;17,07;
MG;3142809;Monte Alegre de Minas;619,1;18,46;
MG;3142908;Monte Azul;358,13;18,46;
MG;3143005;Monte Belo;539,84;16,48;
MG;3143104;Monte Carmelo;689,45;23,43;
MG;3143153;Monte Formoso;206,62;6,98;
MG;3143203;Monte Santo de Minas;584,09;23,28;
MG;3143302;Montes Claros;650,62;45,23;
MG;3143401;Monte Sião;760,69;19,82;
MG;3143450;Montezuma;308,78;12,46;
MG;3143500;Morada Nova de Minas;577,61;22,38;
MG;3143609;Morro da Garça;376,88;13,87;
MG;3143708;Morro do Pilar;382,62;14,54;
MG;3143807;Munhoz;412,79;16,18;
MG;3143906;Muriaé;758,46;28,48;
MG;3144003;Mutum;415,41;16,44;
MG;3144102;Muzambinho;719,94;30,08;
MG;3144201;Nacip Raydan;429,34;10,42;
MG;3144300;Nanuque;505,55;28,56;
MG;3144359;Naque;408,75;23,09;
MG;3144375;Natalândia;431,11;16,1;
MG;3144409;Natércia;541,69;22,59;
MG;3144508;Nazareno;491,13;24,4;
MG;3144607;Nepomuceno;480,79;18,69;
MG;3144656;Ninheira;210,17;8,05;
MG;3144672;Nova Belém;265,9;10,64;
MG;3144706;Nova Era;532,58;31,22;
MG;3144805;Nova Lima;1731,84;44,71;
MG;3144904;Nova Módica;355,66;15,21;
MG;3145000;Nova Ponte;771,68;22,35;
MG;3145059;Nova Porteirinha;302,09;17,25;
MG;3145109;Nova Resende;576,41;15,53;
MG;3145208;Nova Serrana;659,74;22,63;
MG;3145307;Novo Cruzeiro;264,66;11,23;
MG;3145356;Novo Oriente de Minas;274,37;10,9;
MG;3145372;Novorizonte;299,95;12,02;
MG;3145406;Olaria;423,44;14,77;
MG;3145455;Olhos-d'Água;348,9;13,08;
MG;3145505;Olímpio Noronha;475,23;19,69;
MG;3145604;Oliveira;588,2;25,79;
MG;3145703;Oliveira Fortes;369,25;12,69;
MG;3145802;Onça de Pitangui;446,23;14,52;
MG;3145851;Oratórios;395,74;16,99;
MG;3145877;Orizânia;247,35;9,53;
MG;3145901;Ouro Branco;866,02;43,35;
MG;3146008;Ouro Fino;635,38;28,64;
MG;3146107;Ouro Preto;710,55;38,78;
MG;3146206;Ouro Verde de Minas;298,76;14,89;
MG;3146255;Padre Carvalho;286,32;9,55;
MG;3146305;Padre Paraíso;253,77;14,56;
MG;3146404;Paineiras;589,16;17,71;
MG;3146503;Pains;690,97;22,21;
MG;3146552;Pai Pedro;203,93;12,86;
MG;3146602;Paiva;476,35;22,33;
MG;3146701;Palma;494,63;29,33;
MG;3146750;Palmópolis;259,75;11,81;
MG;3146909;Papagaios;455,96;21,82;
MG;3147006;Paracatu;637,8;34,17;
MG;3147105;Pará de Minas;686,42;30,33;
MG;3147204;Paraguaçu;587,36;24,96;
MG;3147303;Paraisópolis;592,61;30,64;
MG;3147402;Paraopeba;530,79;26,08;
MG;3147501;Passabém;405,19;16,38;
MG;3147600;Passa Quatro;561,44;29,11;
MG;3147709;Passa Tempo;535,96;22,51;
MG;3147808;Passa-Vinte;493,38;19,16;
MG;3147907;Passos;802,97;30,21;
MG;3147956;Patis;244,72;10,55;
MG;3148004;Patos de Minas;843,57;36,58;
MG;3148103;Patrocínio;720,59;29,08;
MG;3148202;Patrocínio do Muriaé;590,26;22,29;
MG;3148301;Paula Cândido;407,91;15,23;
MG;3148400;Paulistas;321,22;16,89;
MG;3148509;Pavão;333,55;13,91;
MG;3148608;Peçanha;404,21;17,84;
MG;3148707;Pedra Azul;327,18;18,94;
MG;3148756;Pedra Bonita;256,67;9,7;
MG;3148806;Pedra do Anta;418,07;13,18;
MG;3148905;Pedra do Indaiá;578,46;18,77;
MG;3149002;Pedra Dourada;406,3;13,61;
MG;3149101;Pedralva;541,01;21,89;
MG;3149150;Pedras de Maria da Cruz;268,27;13,65;
MG;3149200;Pedrinópolis;702,77;27,88;
MG;3149309;Pedro Leopoldo;721,11;38,81;
MG;3149408;Pedro Teixeira;309,25;16,13;
MG;3149507;Pequeri;593,92;25,85;
MG;3149606;Pequi;522,22;24,74;
MG;3149705;Perdigão;668,59;26,39;
MG;3149804;Perdizes;861,29;21,87;
MG;3149903;Perdões;663,06;26,29;
MG;3149952;Periquito;320,07;18,71;
MG;3150000;Pescador;367,74;18,45;
MG;3150109;Piau;449,68;17,1;
MG;3150158;Piedade de Caratinga;381,36;8,09;
MG;3150208;Piedade de Ponte Nova;368,71;16,09;
MG;3150307;Piedade do Rio Grande;428,95;14,66;
MG;3150406;Piedade dos Gerais;443,35;10,57;
MG;3150505;Pimenta;613,61;17;
MG;3150539;Pingo-d'Água;340,91;15,76;
MG;3150570;Pintópolis;260,14;11,39;
MG;3150604;Piracema;444,75;16,47;
MG;3150703;Pirajuba;838,37;23,9;
MG;3150802;Piranga;305,73;11,67;
MG;3150901;Piranguçu;504,1;20,62;
MG;3151008;Piranguinho;523,5;28,63;
MG;3151107;Pirapetinga;550,3;31,58;
MG;3151206;Pirapora;596,44;38,56;
MG;3151305;Piraúba;527,81;20,98;
MG;3151404;Pitangui;669;32,73;
MG;3151503;Piumhi;747,2;25,48;
MG;3151602;Planura;669,6;23,87;
MG;3151701;Poço Fundo;644,47;16,97;
MG;3151800;Poços de Caldas;953,96;40,09;
MG;3151909;Pocrane;365,67;13,69;
MG;3152006;Pompéu;598,83;22,58;
MG;3152105;Ponte Nova;679,67;32,68;
MG;3152131;Ponto Chique;269,28;20,91;
MG;3152170;Ponto dos Volantes;267,46;12,42;
